143.96,18.1,30.92,28.37,28.84,50.04
-10.15,-10.18,144.3,141.4,146.23,82.32
144.75,-10.16,148.28,16.73,27.94,65.51
140.3,12.79,19.18,-10.27,142.11,60.82
-10.2,13.04,-10.14,140.71,19,30.48
141.44,18.4,-10.22,-10.27,143.39,56.55
142.24,-10.32,17.3,-10.19,141,56.01
143.41,134.69,16.69,-10.18,24.69,61.86
141.31,18.34,-10.25,-10.24,140.87,56.01
143.92,26.98,-10.19,-10.18,19.43,33.99
142.62,145.41,145.06,27.22,137.88,119.64
146.19,20.36,27,139.32,26.91,71.96
145.96,-10.1,30.29,139.76,140.4,89.26
30.63,144.6,20.54,-10.32,26.97,42.48
29.58,20.27,31.87,25.69,139.63,49.41
145.9,141.13,28.4,27.13,16.89,71.89
143.91,145.01,29.17,-10.21,143.03,90.18
29.33,144.63,17.93,19.34,142.75,70.8
143.47,24.71,145.98,28.38,144.06,97.32
145.34,33.28,29.34,140.9,20.43,73.86
141.63,24.2,140.4,-10.35,140.86,87.35
18.11,31.82,30.65,141.39,147.06,73.81
29.6,19.89,25.08,140.94,143.57,71.82
141.35,139.24,-10.12,28.76,142.86,88.42
141.93,18.68,19.74,28.24,143.67,70.45
29.28,145.51,144.54,18.39,144.25,96.39
143.61,26.01,141.52,28.27,143.08,96.5
22.73,19.39,24.89,146.95,30.59,48.91
144.65,18.66,139.84,143.18,144.49,118.16
140.84,27.82,140.71,-10.11,30.4,65.93
29.57,141.3,146.26,27.83,28.03,74.6
30.75,143.83,25.25,-10.11,145.86,67.12
25.26,15.73,144.49,15.12,29.15,45.95
27.45,143.11,19.97,28.71,143.47,72.54
28.81,27.69,148.02,21.09,141.73,73.47
142.63,146.03,146.51,25.23,142.64,120.61
144.43,22.32,20.22,29.9,29.78,49.33
141.02,140.55,142.37,31.12,145.87,120.19
145.77,144.59,141.31,19.43,145.71,119.36
28.33,21.34,19.57,140.87,145.35,71.09
30.56,29.51,143.32,140.39,145.03,97.76
143.4,145.4,146.68,27.17,30.41,98.61
144.24,144.38,146.2,142.73,29.97,121.5
145.78,144.56,19.55,141.76,20.18,94.37
143.49,145.77,19.5,17.45,29.38,71.12
145.6,144.48,146.23,139.04,31.23,121.32
145.18,147.68,146.91,138.15,21.3,119.84
141.11,143.03,30.91,25.88,19,71.99
143.63,145.28,144.51,-10.23,143.18,113.27
144.97,30.6,19.31,27.01,19.81,48.34
144.05,145.23,31.54,143.77,144.93,121.9
142.79,143.51,145.48,141.54,20.32,118.73
145.8,20.35,147.26,137.94,18.64,94
29.82,146.52,145.15,141.82,20.52,96.77
33.14,29.22,146.01,139.83,20.46,73.73
30.61,16.63,140.74,140.78,21.28,70.01
-10.26,15.74,31.32,134.26,32.9,40.79
144.26,27.93,141.46,140.82,20.29,94.95
32.59,15.8,141.8,18.57,21.13,45.98
29.79,31,143.93,144.62,19.07,73.68
29.23,15.76,144.62,20.48,144.3,70.88
148.22,-10.1,144.61,135.6,-10.16,81.63
22.43,143.58,146.78,14.32,28.68,71.16
22.12,145.48,140.61,141.22,-10.15,87.86
-10.3,145.55,141.67,29.56,145.19,90.33
29.44,15.51,143.57,26.69,144.66,71.97
146.51,145.22,147.61,140.74,144.42,144.9
145.76,144.17,147.82,137.09,145.18,144
21.42,145.74,19.56,143.5,144.39,94.92
136.53,146.56,146.23,22.38,146.48,119.64
12.34,145.56,146.87,138.94,138.94,116.53
17.33,145.59,30.66,140.46,145.59,95.93
19.1,145.18,142.11,138.58,-10.23,86.95
18.39,147.92,25.33,139.44,145.18,95.25
145.91,144.9,145.01,-10.28,138.91,112.89
20.58,145.85,31.12,16.94,17.27,46.35
21.39,144.64,148.15,142.56,140.09,119.37
147.4,145.18,145.78,144.87,-10.23,114.6
147.83,144.5,148.23,27.22,144.16,122.39
143.87,145.07,149.34,27.28,140.82,121.28
143.61,146.55,144.51,26.36,143.99,121
31.78,145.44,145.11,25.11,-10.23,67.44
144.98,146.34,27.83,145.49,142.63,121.45
30.87,146.27,142.48,143.36,143.08,121.21
30.03,146.26,28.7,144.47,143.03,98.5
142.22,22.91,145.45,30.32,142.85,96.75
145.98,20.29,20.56,143.73,-10.27,64.06
31.72,145.65,143.55,25.01,145.95,98.38
145.49,147.38,143.52,143.58,-10.32,113.93
144.83,147.52,144.79,140.4,143.7,144.25
144.79,146.56,142.43,142.75,-10.25,113.26
146.1,146.11,144.68,141.77,142.27,144.19
148.31,145.73,144.62,140.66,17.15,119.29
31.62,145.72,145.16,141.82,-10.27,90.81
-10.23,145.45,146.38,142.33,32.53,91.29
143.32,144.31,145.3,141.22,145.5,143.93
143.51,144.31,144.25,-10.32,146.71,113.69
147.96,147.19,144.35,-10.28,147.69,115.38
146.89,147.38,143.6,142.49,21.28,120.33
28.26,147.15,22.63,-10.32,145.34,66.61
147.31,143.64,20.64,-10.32,143.89,89.03
149.95,147.44,20.61,142.31,145.03,121.07
147.04,142.8,142.53,27.39,145.96,121.14
145.85,146.43,20.64,-10.32,143.96,89.31
31.44,146.86,20.62,143.74,144.04,97.34
29.34,19.92,20.56,-10.32,143.9,40.68
-10.17,144.89,20.59,143.53,144.08,88.58
29.36,143.94,20.61,-10.32,143.79,65.48
29.05,143.91,20.48,144.43,144.93,96.56
30.29,142.34,145.1,25.61,143.37,97.34
31.23,144.5,145.38,26.7,17.77,73.12
-10.17,144.92,145.92,145.34,145.68,114.34
16.65,148.23,146.22,22.75,144.09,95.59
145.5,149.21,147.19,129.98,144.93,143.36
27.06,147.19,147.18,7.34,144.06,94.57
27.89,147.2,149.14,7.54,29.02,72.16
141.76,144.26,145.18,119.81,30.05,116.21
139.68,145.48,-10.25,130.7,20.53,85.23
144.34,144.43,149.1,138.59,143.86,144.06
142.85,147.08,-10.25,145.28,19.76,88.94
145.73,21.64,149.23,142.14,29.64,97.68
28.85,145.4,147.19,19.88,28.78,74.02
144.88,145.53,147.57,149.67,141.23,145.78
142.08,138.52,141.99,33.68,144.68,120.19
142.79,140.89,19.18,142.86,144.62,118.07
145.42,139.05,149.35,32.14,31.68,99.53
145.11,146.45,141.05,29.55,19.53,96.34
142.78,148.56,145.22,143.66,144.81,145.01
145.3,146.09,141.52,142.28,144.82,144
139.57,148.56,-10.15,24.56,143.48,89.2
143.54,146.63,146.72,-10.31,144.4,114.2
148.16,146.62,140.7,30.64,145.54,122.33
145.84,144.4,148.06,20.4,144.47,120.63
144.36,146.41,27.81,139.44,142.57,120.12
139.22,146.11,146.06,28.77,143.88,120.81
143.33,148.19,144.61,144.57,30.63,122.27
144.75,147.51,148.57,20.35,29.77,98.19
142.82,145.57,148.84,27.77,19.38,96.88
147.89,145.4,144.72,26.43,20.45,96.98
146.43,33.23,142.66,22.33,145.9,98.11
144.88,32.95,28.76,-10.42,20.48,43.33
143.92,31.99,28.36,145.53,27.77,75.51
147.95,33.22,145.56,138.42,141.5,121.33
143.87,33.91,144.29,141.96,30.07,98.82
