#Run #Soar-Mod-RL #Sample_Agent
1 -5.03183333333334  11.6028 
2 -6.03883333333334  15.3592 
3 -6.95216666666667  21.315 
4 -6.01383333333334  27.2706 
5 -7.03816666666667  35.5752 
6 -8.06933333333334  43.8798 
7 -8.04900000000001  43.7106 
8 -5.89133333333334  53.1924 
9 -5.88116666666667  58.0156 
10 -5.84633333333333  65.1684 
11 -5.94966666666666  72.0804 
12 -5.98916666666666  74.4786 
13 -3.953  74.7558 
14 -3.91016666666667  75.0334 
15 -3.788  72.962 
16 -3.77866666666666  70.8906 
17 -1.80649999999999  70.947 
18 -3.89849999999999  70.985 
19 -1.55166666666666  73.2226 
20 -1.58133333333333  73.2022 
21 -1.3725  75.5902 
22 0.74933333333333  80.145 
23 -1.09183333333333  84.6218 
24 0.97183333333333  89.0984 
25 1.199  93.5752 
26 1.33649999999999  95.8524 
27 1.39366666666666  98.2392 
28 1.32716666666666  98.0514 
29 -0.702666666666669  95.7756 
30 1.3285  93.5578 
31 3.27183333333333  91.11 
32 3.39266666666667  91.11 
33 9.03500000000001  91.1092 
34 5.04083333333334  91.1086 
35 4.69550000000001  91.108 
36 4.70900000000001  93.3062 
37 2.66633333333334  95.5046 
38 6.68016666666667  97.8918 
39 12.3103333333333  100.1674 
40 12.3633333333333  104.6426 
41 10.2186666666667  107.0896 
42 8.149  107.0888 
43 2.32350000000001  107.0882 
44 2.404  107.0878 
45 2.40383333333333  107.0868 
46 6.23283333333334  107.0866 
47 6.24850000000001  107.1064 
48 2.33616666666668  107.1256 
49 -3.50783333333332  107.1446 
50 -5.40983333333332  107.1634 
51 -5.29116666666666  107.1828 
52 -5.44099999999999  107.2016 
53 -3.47633333333332  107.2212 
54 -3.62733333333332  107.1804 
55 -1.64549999999998  107.1998 
56 -1.67633333333332  107.2192 
57 0.436500000000005  107.2184 
58 4.31700000000001  107.2172 
59 6.38116666666667  107.2172 
60 6.19500000000001  107.2178 
61 8.02933333333334  107.2174 
62 8.03316666666667  107.2174 
63 7.93333333333333  107.217 
64 8.06916666666666  107.2762 
65 8.3245  107.2758 
66 4.65933333333334  107.2756 
67 2.61183333333334  107.2756 
68 -1.37166666666666  107.2754 
69 -3.38983333333333  104.8868 
70 -1.5045  104.886 
71 2.56683333333334  104.8854 
72 2.75483333333334  104.905 
73 1.00616666666667  104.9244 
74 1.02266666666667  104.944 
75 2.7805  104.9642 
76 4.67683333333333  104.9842 
77 6.58683333333333  105.0042 
78 6.69033333333333  105.0242 
79 6.53833333333333  107.432 
80 6.7555  107.4514 
81 0.865166666666664  107.471 
82 2.65866666666666  107.4706 
83 4.50383333333333  107.47 
84 4.59299999999999  107.4692 
85 4.70033333333332  105.0796 
86 2.52249999999999  102.8404 
87 0.663833333333327  100.6014 
88 0.813833333333327  98.2126 
89 0.970666666666664  95.9532 
90 -1.12883333333334  93.505 
91 -1.26516666666667  91.1162 
92 0.718166666666657  88.896 
93 -1.27766666666667  86.5078 
94 -1.41266666666667  84.2888 
95 -5.53083333333333  84.2888 
96 -5.383  84.1384 
97 -3.51783333333334  86.3756 
98 0.316166666666664  88.7632 
99 4.2795  91.0206 
100 6.29416666666666  91.0794 
101 6.43383333333333  93.4854 
102 2.55366666666667  95.7424 
103 6.435  98.168 
104 8.31466666666667  100.425 
105 10.4876666666667  102.8508 
106 18.2541666666667  105.2762 
107 18.3571666666667  105.314 
108 14.275  102.9456 
109 12.141  102.8662 
110 10.131  102.8064 
111 10.0975  100.5308 
112 12.0976666666667  98.2358 
113 10.2713333333333  95.9402 
114 8.42133333333333  93.4542 
115 10.2643333333333  91.048 
116 2.46533333333333  88.6424 
117 0.375333333333333  86.388 
118 2.48816666666667  86.3882 
119 0.503500000000003  84.21 
120 0.496333333333333  84.4004 
121 2.36983333333333  84.3202 
122 0.284500000000003  84.3 
123 -1.85433333333333  84.1698 
124 -1.90349999999999  84.3402 
125 -5.68666666666666  84.431 
126 -3.78766666666666  84.4618 
127 0.183833333333337  84.4012 
128 0.0855000000000004  84.492 
129 0.0858333333333402  84.4124 
130 2.08966666666667  84.3918 
131 0.286500000000007  84.392 
132 4.21900000000001  84.3922 
133 6.29083333333334  84.502 
134 6.20433333333334  84.5012 
135 8.00416666666667  84.3302 
136 8.0925  86.6668 
137 8.08683333333333  88.9438 
138 12.189  91.2206 
139 12.361  93.5776 
140 12.3753333333333  95.8748 
141 16.1663333333333  98.2314 
142 14.2855  100.4482 
143 12.2146666666667  102.7452 
144 12.3628333333333  102.6546 
145 12.498  105.122 
146 16.3788333333333  105.062 
147 16.3813333333333  105.0614 
148 12.3456666666667  105.0612 
149 16.2773333333333  105.0412 
150 18.451  104.9614 
151 18.4728333333333  104.9416 
152 18.6758333333333  105.0008 
153 20.7578333333333  102.5934 
154 20.7275  102.6846 
155 20.7095  100.3878 
156 16.83  98.1706 
157 16.8643333333333  95.8936 
158 16.7808333333333  93.6166 
159 12.8985  91.2284 
160 10.6608333333333  89.0102 
161 6.77250000000001  89.0102 
162 4.55266666666668  89.0108 
163 2.46850000000001  91.3982 
164 2.35116666666668  93.6748 
165 2.30466666666667  95.9516 
166 0.438666666666673  98.2284 
167 -3.55666666666667  100.5054 
168 -5.55483333333333  102.7822 
169 -3.77666666666666  105.17 
170 -5.5235  107.4476 
171 -5.52283333333333  107.4466 
172 -5.55716666666666  107.446 
173 -3.55533333333333  107.4458 
174 -1.5705  105.0578 
175 -1.673  104.9788 
176 -1.87316666666667  104.9588 
177 0.101833333333336  102.571 
178 2.47  100.3722 
179 2.45466666666666  100.3526 
180 4.23116666666666  100.2728 
181 4.33816666666666  97.8254 
182 6.44033333333333  95.5486 
183 4.79666666666667  93.2126 
184 4.79866666666667  93.3238 
185 4.79766666666667  91.1266 
186 6.72433333333333  88.7584 
187 4.83216666666667  88.9864 
188 2.45983333333334  88.7966 
