-10.27,-10.26,132.77,135.71,-10.3,-10.1,145.44,-10.2,362.79,45.35
26.68,138.78,134.44,136.58,141.68,17.39,142.53,-10.13,727.95,90.99
144.17,13.68,11.62,22.52,-10.25,27.24,32.53,143.18,384.69,48.09
-10.17,-10.28,139.28,141.44,23.34,28.31,30.22,-10.41,331.73,41.47
143,-10.22,28.61,141.47,141.99,15.79,143.83,145.74,750.21,93.78
12.01,19.39,13.67,27.61,28.97,16.78,144.45,19.75,282.63,35.33
143.87,27.63,-10.27,18.86,141.43,141.86,17.37,-10.4,470.35,58.79
137.48,-10.1,26.19,22.95,-10.3,26.28,-10.29,-10.24,171.97,21.5
26.35,29.99,141.37,14.88,142.78,27.46,141.55,-10.3,514.08,64.26
26.61,139.84,142.17,11.82,140.58,30.07,146.08,143.99,781.16,97.65
10.99,28.02,137.42,140.84,-10.14,142.01,29.37,-10.3,468.21,58.53
140.03,30.93,-10.26,28.49,17.02,14.68,143.53,142.3,506.72,63.34
141.95,27.27,27.91,20.16,-10.3,21.77,145.48,20.1,394.34,49.29
140.59,29.76,-10.23,-10.3,25.98,-10.28,30.3,144.85,340.67,42.58
143.86,17.01,13.53,18.29,-10.27,17.41,143.76,27.19,370.78,46.35
140.29,138.3,136.3,142.68,23.36,25.41,143.07,140.66,890.07,111.26
28.84,142.02,-10.28,26.11,-10.29,20.88,143.71,30.37,371.36,46.42
141.83,138.96,141.2,138.93,140.08,23.69,144.88,142.42,1011.99,126.5
22.99,141.9,25.94,138.07,27.21,23.15,144.56,145.43,669.25,83.66
19.31,29.48,142.61,140.09,28.55,141.32,143.68,140.45,785.49,98.19
136.97,29.58,141.55,143.89,140.12,24.28,141.77,142.29,900.45,112.56
26.34,-10.28,136.59,26.52,16.81,18.15,143.91,143.88,501.92,62.74
24.2,26.04,141.25,28.65,-10.26,142.03,28.24,28.31,408.46,51.06
142.12,142.33,-10.23,24.02,-10.21,137.13,146.64,143.05,714.85,89.36
143.07,140.93,24.38,142.55,25.16,21.69,29.48,144.54,671.8,83.98
25.41,141.12,-10.17,139.96,16.76,21.99,144.44,147.56,627.07,78.38
28.12,142.76,-10.23,23.75,-10.19,21.18,142.73,29.84,367.96,46
26.89,140.84,24.73,23.28,29.67,144.83,143.7,-9.99,523.95,65.49
27.59,142.8,144.25,23.51,142.66,140.69,143.06,-10,754.56,94.32
139.05,140.34,141.86,15.77,142.62,140.42,140.38,28.3,888.74,111.09
18.25,28.32,-10.61,15.69,17.5,140.9,142.69,137.39,490.13,61.27
143.59,141.09,17.69,29.46,144.4,140.91,146.06,-10,753.2,94.15
29.51,139.67,28.15,-10.16,143.46,21.96,144.24,147.67,644.5,80.56
27.81,140.02,12.69,24.07,138.24,24.01,144.45,146.57,657.86,82.23
26.39,139.15,28.02,15.68,141.3,143.84,28.53,22.01,544.92,68.12
28.46,141.97,25.69,17.76,144.93,23.06,144.02,-10.01,515.88,64.49
28.48,25.07,24.87,137.77,143.4,26.53,144.17,146.76,677.05,84.63
15.91,138.67,-10.29,23.3,29.86,25.24,28.66,-9.99,241.36,30.17
138.16,27.01,-10.66,24.21,31.1,29.03,144.02,-10,372.87,46.61
141.83,143.06,16.5,22.05,31.26,138.94,147.12,-10.01,630.75,78.84
26.14,27.05,144.26,22.47,29.32,139.94,145.73,-10,524.91,65.61
29.05,23.26,-10.31,20.84,145.54,29.31,145.52,-9.99,373.22,46.65
139.58,140.83,13.38,26.39,145.65,29.17,143.63,-10.01,628.62,78.58
26.84,139.78,21.37,24.67,143.63,141.4,29.08,-10.01,516.76,64.6
141.05,25.72,25.28,22.08,144.54,25.64,22.97,-8.99,398.29,49.79
15.37,25.54,12.39,23.52,142.1,136.85,146.01,146.14,647.92,80.99
17.65,24.62,26.8,28.69,25.87,30.41,28.45,-9.99,172.5,21.56
28.43,27.74,143.62,140.95,144.7,144.5,142.31,-10,762.25,95.28
28.82,26.63,-10.28,25.49,31.11,144.39,144.98,-9.99,381.15,47.64
142.2,27.69,31.63,144.48,26.93,21.78,143.78,-9.99,528.5,66.06
29.97,-10.23,-10.28,28.63,144.7,143.72,20.54,-9.99,337.06,42.13
28.99,138.46,141.96,24.54,141.71,17.05,31.08,23.01,546.8,68.35
143.55,141.13,-10.28,24.96,31.42,26.43,27.46,-11,373.67,46.71
29.29,141.65,24.72,29.54,19.73,146.08,17.36,-10.01,398.36,49.8
141.12,139.88,13.47,27.85,142.38,28.06,24.79,-9.99,507.56,63.45
25.54,140.01,139.8,27.46,28.83,27.1,29.58,-10,408.32,51.04
142.05,141.63,15.92,26.93,144.32,141.39,21.38,-10,623.62,77.95
28.93,142.86,144.23,29.09,142.98,144.56,145.15,-10,767.8,95.98
21.99,19.12,-10.27,22.03,144.18,141,19.85,-10,347.9,43.49
28.43,140.7,26.6,26.68,142.78,143.06,144.59,-10.01,642.83,80.35
23.65,140.78,21.51,142.85,143.77,26.14,29.49,-9.99,518.2,64.78
143.41,140.72,27.46,26.23,144.09,141.46,29.57,-10,642.94,80.37
140.91,143.4,-10.28,30.24,141.62,25.24,29.21,-9.99,490.35,61.29
142.17,24.83,26.36,23.4,144.83,27.28,29.5,-10,408.37,51.05
143.09,143.11,25.61,29.59,143.11,136.28,147.07,-10.01,757.85,94.73
142.05,140.67,12.46,136.22,141.63,140.47,147.4,-10.01,850.89,106.36
27.76,143.74,27.45,23.37,145.94,140.61,145.84,-10,644.71,80.59
143.9,141.7,25.38,25.77,141.15,22.23,144.54,-10.01,634.66,79.33
141.56,140.67,139.58,143.73,145.07,140.91,142.57,-10.01,984.08,123.01
140.12,23.57,144.21,143.95,142.13,145.31,143.61,-10,872.9,109.11
142.97,-10.23,29.02,25.92,142.19,145.67,21.23,-9.99,486.78,60.85
141.86,140.55,11.47,141.84,146.78,143.77,146.46,-10,862.73,107.84
140.09,142.74,9.17,142.02,143.12,142.75,146.39,-10.01,856.27,107.03
141.23,139.62,28.28,24.44,144.66,142.68,143.41,-9.99,754.33,94.29
141.66,143.81,133.96,143.54,147.05,139.58,30.23,-9.99,869.84,108.73
25.16,142.61,27.38,27.03,144.82,22.34,20.98,-10.01,400.31,50.04
-10.99,142.76,27.61,141.42,141.84,141.21,29.51,-10.01,603.35,75.42
143.53,21,141.64,25.87,144.49,25.07,20.92,-10.01,512.51,64.06
18.01,-10.23,136.62,18.45,145.21,28.12,21.39,-9.99,347.58,43.45
143.23,144.55,22.75,136.39,142.85,27.47,145.37,-10.01,752.6,94.08
142.85,144.3,28.23,142.69,146.63,143.86,29.86,-9.99,768.43,96.05
139.65,140.55,141.49,135.44,147.38,27.36,148.74,-10.01,870.6,108.83
23.01,141.23,141.57,143.01,146.74,143.12,144.71,-9.99,873.4,109.18
144.36,24.57,142.32,140.24,143.79,29.04,143.67,-10,757.99,94.75
143.02,143.4,142.28,25.79,146.71,21.07,21.24,-10.01,633.5,79.19
24.27,142.64,141.27,137.35,146.83,24.47,21.17,-10.01,627.99,78.5
